( 0 , FR940810-2-00031 , 1 )
( 0 , FR940810-2-00033 , 1 )
( 1 , FR940810-2-00031 , 1 )
( 4 , FR940810-2-00031 , 1 )
( 4 , FR940810-2-00032 , 1 )
( 5 , FR940810-2-00032 , 1 )
( 5 , FR940810-2-00032 , 1 )
( 5 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00031 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00032 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 8 , FR940810-2-00033 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 11 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00032 , 1 )
( 12 , FR940810-2-00033 , 1 )
( 12 , FR940810-2-00033 , 1 )
( 12 , FR940810-2-00033 , 1 )
( 17 , FR940810-2-00033 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00032 , 1 )
( 28 , FR940810-2-00033 , 1 )
( 28 , FR940810-2-00033 , 1 )
( 28 , FR940810-2-00033 , 1 )
( 35 , FR940810-2-00032 , 1 )
( 35 , FR940810-2-00032 , 1 )
( 37 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00031 , 1 )
( 41 , FR940810-2-00031 , 1 )
( 41 , FR940810-2-00031 , 1 )
( 41 , FR940810-2-00031 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
( 41 , FR940810-2-00032 , 1 )
