( 66 , FR940405-1-00085 , 1 )
( 45 , FR940405-1-00085 , 1 )
( 867 , FR940405-1-00085 , 1 )
( 12 , FR940405-1-00085 , 1 )
( 489 , FR940405-1-00085 , 1 )
( 3544 , FR940405-1-00085 , 1 )
( 2256 , FR940405-1-00085 , 1 )
( 376 , FR940405-1-00085 , 1 )
( 472 , FR940405-1-00085 , 1 )
( 333 , FR940405-1-00085 , 1 )
( 2399 , FR940405-1-00085 , 1 )
( 41 , FR940405-1-00085 , 1 )
( 1336 , FR940405-1-00085 , 1 )
( 491 , FR940405-1-00085 , 1 )
( 12 , FR940405-1-00085 , 1 )
( 1423 , FR940405-1-00085 , 1 )
( 44 , FR940405-1-00085 , 1 )
( 66 , FR940405-1-00085 , 1 )
( 41 , FR940405-1-00085 , 1 )
( 5403 , FR940405-1-00085 , 1 )
( 17847 , FR940405-1-00085 , 1 )
( 41 , FR940405-1-00085 , 1 )
( 35 , FR940405-1-00085 , 1 )
( 1005 , FR940405-1-00085 , 1 )
( 75 , FR940405-1-00085 , 1 )
( 41 , FR940405-1-00085 , 1 )
( 2435 , FR940405-1-00085 , 1 )
( 3544 , FR940405-1-00085 , 1 )
( 12 , FR940405-1-00085 , 1 )
( 4662 , FR940405-1-00085 , 1 )
( 41 , FR940405-1-00085 , 1 )
( 956 , FR940405-1-00085 , 1 )
( 12 , FR940405-1-00085 , 1 )
( 1252 , FR940405-1-00085 , 1 )
( 18554 , FR940405-1-00085 , 1 )
( 17100 , FR940405-1-00085 , 1 )
( 216 , FR940405-1-00085 , 1 )
( 186 , FR940405-1-00085 , 1 )
( 1136 , FR940405-1-00085 , 1 )
( 4732 , FR940405-1-00085 , 1 )
( 1009 , FR940405-1-00085 , 1 )
( 123 , FR940405-1-00085 , 1 )
( 4869 , FR940405-1-00085 , 1 )
( 4055 , FR940405-1-00085 , 1 )
( 216 , FR940405-1-00085 , 1 )
( 156 , FR940405-1-00085 , 1 )
( 157 , FR940405-1-00085 , 1 )
( 2691 , FR940405-1-00085 , 1 )
( 153 , FR940405-1-00085 , 1 )
( 4687 , FR940405-1-00085 , 1 )
( 6775 , FR940405-1-00085 , 1 )
( 7014 , FR940405-1-00085 , 1 )
( 3853 , FR940405-1-00085 , 1 )
